Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-720,2000,101965898.896899,50982.9,509.829
iot-0-721,2000,101964806.056900,50982.4,509.824
iot-0-722,2000,101964962.176900,50982.5,509.825
iot-0-723,2000,101964129.536899,50982.1,509.821
iot-0-724,2000,101966835.616899,50983.4,509.834
iot-0-725,2000,101966263.176900,50983.1,509.831
iot-0-726,2000,101966002.976899,50983,509.83
iot-0-727,2000,101965430.536900,50982.7,509.827
iot-0-728,2000,101967408.056900,50983.7,509.837
iot-0-729,2000,101966991.736900,50983.5,509.835
iot-0-730,2000,101965690.736899,50982.8,509.828
iot-0-731,2000,101966523.376899,50983.3,509.832
iot-0-732,2000,101966055.016900,50983,509.83
iot-0-733,2000,101965222.376900,50982.6,509.826
iot-0-734,2000,101964910.136900,50982.5,509.824
iot-0-735,2000,101966419.296899,50983.2,509.832
iot-0-736,2000,101964858.096899,50982.4,509.824
iot-0-737,2000,101966679.496900,50983.3,509.833
iot-0-738,2000,101965794.816899,50982.9,509.829
iot-0-739,2000,101965846.856900,50982.9,509.829
iot-0-740,2000,101965534.718076,50982.8,509.828
iot-0-741,2000,101965326.456899,50982.7,509.827
iot-0-742,2000,101966471.336900,50983.2,509.832
iot-0-743,2000,101966367.256900,50983.2,509.832
iot-0-744,2000,101965586.656899,50982.8,509.828
iot-0-745,2000,101967095.816900,50983.5,509.835
iot-0-746,2000,101965950.936900,50983,509.83
iot-0-747,2000,101965742.776900,50982.9,509.829
iot-0-748,2000,101966159.096900,50983.1,509.831
iot-0-749,2000,101966211.136900,50983.1,509.831
iot-0-750,2000,101968240.696900,50984.1,509.841
iot-0-751,2000,101966783.576900,50983.4,509.834
iot-0-752,2000,101967720.296900,50983.9,509.838
iot-0-753,2000,101967303.976900,50983.7,509.836
iot-0-754,2000,101967824.376900,50983.9,509.839
iot-0-755,2000,101968709.056899,50984.4,509.843
iot-0-756,2000,101967043.776899,50983.5,509.835
iot-0-757,2000,101966679.598076,50983.3,509.833
iot-0-758,2000,101967616.216900,50983.8,509.838
iot-0-759,2000,101966575.416900,50983.3,509.833
iot-0-760,2000,101967251.936899,50983.6,509.836
iot-0-761,2000,101967876.416899,50983.9,509.839
iot-0-762,2000,101967199.896900,50983.6,509.836
