Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-467,2000,93623678.321836,46811.8,468.117
iot-0-468,2000,93654225.801838,46827.1,468.27
iot-0-469,2000,93647876.921838,46823.9,468.238
iot-0-470,2000,93646836.121838,46823.4,468.233
iot-0-471,2000,93614519.383012,46807.3,468.071
iot-0-472,2000,93654017.641838,46827,468.269
iot-0-473,2000,93623470.161836,46811.7,468.116
iot-0-474,2000,93644078.103014,46822,468.219
iot-0-475,2000,93620399.801836,46810.2,468.101
iot-0-476,2000,93660991.001839,46830.5,468.304
iot-0-477,2000,93631588.401837,46815.8,468.157
iot-0-478,2000,93640903.561837,46820.5,468.203
iot-0-479,2000,93637156.681837,46818.6,468.185
iot-0-480,2000,93620503.881836,46810.3,468.101
iot-0-481,2000,93635595.481837,46817.8,468.177
iot-0-482,2000,93617173.321836,46808.6,468.085
iot-0-483,2000,93638145.441837,46819.1,468.19
iot-0-484,2000,93619671.343012,46809.8,468.097
iot-0-485,2000,93653080.921838,46826.5,468.264
iot-0-486,2000,93620347.761836,46810.2,468.101
iot-0-487,2000,93621752.943012,46810.9,468.108
iot-0-488,2000,93642985.263014,46821.5,468.214
iot-0-489,2000,93645014.721838,46822.5,468.224
iot-0-490,2000,93618578.401836,46809.3,468.092
iot-0-491,2000,93659533.881839,46829.8,468.297
iot-0-492,2000,93622065.081836,46811,468.109
iot-0-493,2000,93644338.201838,46822.2,468.221
iot-0-494,2000,93620243.783012,46810.1,468.1
iot-0-495,2000,93637416.881837,46818.7,468.186
iot-0-496,2000,93624771.161836,46812.4,468.123
iot-0-497,2000,93645899.401838,46822.9,468.228
iot-0-498,2000,93617641.681836,46808.8,468.087
iot-0-499,2000,93626280.321836,46813.1,468.13
iot-0-500,2000,93614155.001835,46807.1,468.07
iot-0-501,2000,93626696.641836,46813.3,468.132
iot-0-502,2000,93657140.143015,46828.6,468.285
iot-0-503,2000,93634918.961837,46817.5,468.173
iot-0-504,2000,93616029.150069,46808,468.079
iot-0-505,2000,93644546.361837,46822.3,468.222
iot-0-506,2000,93630339.441836,46815.2,468.151
iot-0-507,2000,93655110.481838,46827.6,468.274
iot-0-508,2000,93642516.801838,46821.3,468.211
iot-0-509,2000,93661407.321839,46830.7,468.306
iot-0-510,2000,93657972.783015,46829,468.289
iot-0-511,2000,93644442.281837,46822.2,468.221
iot-0-512,2000,93648865.681838,46824.4,468.243
iot-0-513,2000,93642360.681837,46821.2,468.211
iot-0-514,2000,93626488.481836,46813.2,468.131
iot-0-515,2000,93631536.463013,46815.8,468.157
iot-0-516,2000,93637052.601837,46818.5,468.184
iot-0-517,2000,93647148.361838,46823.6,468.235
iot-0-518,2000,93626072.161836,46813,468.129
iot-0-519,2000,93649750.361838,46824.9,468.248
iot-0-520,2000,93644130.041838,46822.1,468.219
iot-0-521,2000,93658128.801838,46829.1,468.29
iot-0-522,2000,93650895.241838,46825.4,468.253
iot-0-523,2000,93640591.321837,46820.3,468.202
iot-0-524,2000,93617121.281836,46808.6,468.084
iot-0-525,2000,93632733.484189,46816.4,468.163
iot-0-526,2000,93618422.383012,46809.2,468.091
iot-0-527,2000,93633357.761837,46816.7,468.166
iot-0-528,2000,93660730.801839,46830.4,468.302
iot-0-529,2000,93646732.041838,46823.4,468.233
iot-0-530,2000,93617381.481836,46808.7,468.086
iot-0-531,2000,93616392.721836,46808.2,468.081
iot-0-532,2000,93657088.001838,46828.5,468.284
iot-0-533,2000,93643037.201837,46821.5,468.214
iot-0-534,2000,93629402.721837,46814.7,468.146
iot-0-535,2000,93623054.044189,46811.5,468.114
iot-0-536,2000,93628882.321836,46814.4,468.143
iot-0-537,2000,93630859.841837,46815.4,468.153
iot-0-538,2000,93646107.561838,46823.1,468.229
iot-0-539,2000,93653133.164191,46826.6,468.265
iot-0-540,2000,93640799.481837,46820.4,468.203
iot-0-541,2000,93638509.721837,46819.3,468.191
iot-0-542,2000,93625760.023012,46812.9,468.128
iot-0-543,2000,93654590.081838,46827.3,468.272
iot-0-544,2000,93643401.481837,46821.7,468.216
iot-0-545,2000,93619827.361836,46809.9,468.098
iot-0-546,2000,93640383.161837,46820.2,468.201
iot-0-547,2000,93621492.743012,46810.7,468.106
iot-0-548,2000,93628361.921836,46814.2,468.141
iot-0-549,2000,93624667.081836,46812.3,468.122
iot-0-550,2000,93618786.561836,46809.4,468.093
iot-0-551,2000,93635231.201837,46817.6,468.175
iot-0-552,2000,93637260.761837,46818.6,468.185
iot-0-553,2000,93623418.121836,46811.7,468.116
iot-0-554,2000,93623209.961836,46811.6,468.115
iot-0-555,2000,93615195.801835,46807.6,468.075
iot-0-556,2000,93648969.761838,46824.5,468.244
iot-0-557,2000,93637312.801837,46818.7,468.185
iot-0-558,2000,93625135.543012,46812.6,468.125
iot-0-559,2000,93624407.084189,46812.2,468.121
iot-0-560,2000,93642933.324190,46821.5,468.214
iot-0-561,2000,93649542.201838,46824.8,468.247
iot-0-562,2000,93616132.521836,46808.1,468.08
iot-0-563,2000,93639862.761837,46819.9,468.198
iot-0-564,2000,93618838.601836,46809.4,468.093
iot-0-565,2000,93631484.423013,46815.7,468.156
iot-0-566,2000,93633722.446542,46816.9,468.167
iot-0-567,2000,93631952.681837,46816,468.159
iot-0-568,2000,93657452.281839,46828.7,468.286
iot-0-569,2000,93642048.543013,46821,468.209
iot-0-570,2000,93641476.001837,46820.7,468.206
iot-0-571,2000,93659117.561839,46829.6,468.294
iot-0-572,2000,93616444.761836,46808.2,468.081
iot-0-573,2000,93633618.063013,46816.8,468.167
iot-0-574,2000,93633878.161837,46816.9,468.168
iot-0-575,2000,93616496.801836,46808.2,468.081
iot-0-576,2000,93660834.881839,46830.4,468.303
iot-0-577,2000,93651155.441838,46825.6,468.255
iot-0-578,2000,93627321.223013,46813.7,468.135
iot-0-579,2000,93659169.601839,46829.6,468.295
iot-0-580,2000,93627477.241837,46813.7,468.136
iot-0-581,2000,93640227.041837,46820.1,468.2
iot-0-582,2000,93635439.564189,46817.7,468.176
iot-0-583,2000,93614831.521835,46807.4,468.073
iot-0-584,2000,93657348.303015,46828.7,468.286
iot-0-585,2000,93627217.041837,46813.6,468.135
iot-0-586,2000,93658597.161838,46829.3,468.292
iot-0-587,2000,93644858.601838,46822.4,468.223
iot-0-588,2000,93628205.801837,46814.1,468.14
iot-0-589,2000,93630755.761837,46815.4,468.153
iot-0-590,2000,93636688.321837,46818.3,468.182
iot-0-591,2000,93642308.641837,46821.2,468.21
iot-0-592,2000,93619515.121836,46809.8,468.096
iot-0-593,2000,93625291.663012,46812.6,468.125
iot-0-594,2000,93651311.561838,46825.7,468.255
iot-0-595,2000,93616913.121836,46808.5,468.083
iot-0-596,2000,93650791.364190,46825.4,468.253
iot-0-597,2000,93651207.583014,46825.6,468.255
iot-0-598,2000,93657556.361839,46828.8,468.287
iot-0-599,2000,93648761.601838,46824.4,468.243
iot-0-600,2000,93655630.881838,46827.8,468.277
iot-0-601,2000,93655682.921838,46827.8,468.277
iot-0-602,2000,93643349.441837,46821.7,468.216
iot-0-603,2000,93626332.361836,46813.2,468.131
iot-0-604,2000,93620139.601836,46810.1,468.1
iot-0-605,2000,93641111.721837,46820.6,468.204
iot-0-606,2000,93647668.761838,46823.8,468.237
iot-0-607,2000,93637573.001837,46818.8,468.187
iot-0-608,2000,93632525.121836,46816.3,468.161
iot-0-609,2000,93615820.281836,46807.9,468.078
iot-0-610,2000,93617485.561836,46808.7,468.086
iot-0-611,2000,93642100.481838,46821.1,468.209
iot-0-612,2000,93649594.241838,46824.8,468.247
iot-0-613,2000,93643297.401838,46821.6,468.215
iot-0-614,2000,93658857.361839,46829.4,468.293
iot-0-615,2000,93631848.601837,46815.9,468.158
iot-0-616,2000,93650062.601838,46825,468.249
iot-0-617,2000,93616236.703012,46808.1,468.08
iot-0-618,2000,93623157.921836,46811.6,468.115
iot-0-619,2000,93623886.481836,46811.9,468.118
iot-0-620,2000,93632577.161837,46816.3,468.162
iot-0-621,2000,93628986.401836,46814.5,468.144
iot-0-622,2000,93644390.241838,46822.2,468.221
